
glyph,english,translit,confidence,source,notes
280,dark moon phase; turtle; turtle (honu); sea turtle,honu,0.5,Placeholder for research,"Turtle glyph; associated with god Rongo or dark moon; appears in genealogies and lunar sequence.; Sea turtle glyph appearing during dark moon phase in Mamari calendar. 'Turtle' (honu) represents longevity and endurance, symbolically appropriate for moon's disappearance and renewal cycle. (Cross-methodology) Turtle sign: parallels to turtle/honu motifs in Pacific iconography and to the Sumerian 'šu' (turtle) logogram; in many cultures, turtles symbolize the earth and creation."
290,,,0.0,Placeholder for research,Glyph 290 - awaiting decipherment
301,,,0.0,Placeholder for research,Glyph 301 - awaiting decipherment
302,,,0.0,Placeholder for research,Glyph 302 - awaiting decipherment
310,,,0.0,Placeholder for research,Glyph 310 - awaiting decipherment
320,,,0.0,Placeholder for research,Glyph 320 - awaiting decipherment
330,,,0.0,Placeholder for research,Glyph 330 - awaiting decipherment
340,,,0.0,Placeholder for research,Glyph 340 - awaiting decipherment
350,,,0.0,Placeholder for research,Glyph 350 - awaiting decipherment
360,,,0.0,Placeholder for research,Glyph 360 - awaiting decipherment
370,,,0.0,Placeholder for research,Glyph 370 - awaiting decipherment
380,,,0.0,Placeholder for research,Glyph 380 - awaiting decipherment
390,,,0.0,Placeholder for research,Glyph 390 - awaiting decipherment
401,,,0.0,Placeholder for research,Glyph 401 - awaiting decipherment
410,,,0.0,Placeholder for research,Glyph 410 - awaiting decipherment
420,,,0.0,Placeholder for research,Glyph 420 - awaiting decipherment
430,,,0.0,Placeholder for research,Glyph 430 - awaiting decipherment
440,,,0.0,Placeholder for research,Glyph 440 - awaiting decipherment
450,,,0.0,Placeholder for research,Glyph 450 - awaiting decipherment
460,,,0.0,Placeholder for research,Glyph 460 - awaiting decipherment
470,,,0.0,Placeholder for research,Glyph 470 - awaiting decipherment
480,,,0.0,Placeholder for research,Glyph 480 - awaiting decipherment
490,,,0.0,Placeholder for research,Glyph 490 - awaiting decipherment
501,,,0.0,Placeholder for research,Glyph 501 - awaiting decipherment
510,,,0.0,Placeholder for research,Glyph 510 - awaiting decipherment
520,,,0.0,Placeholder for research,Glyph 520 - awaiting decipherment
530,,,0.0,Placeholder for research,Glyph 530 - awaiting decipherment
540,,,0.0,Placeholder for research,Glyph 540 - awaiting decipherment
550,,,0.0,Placeholder for research,Glyph 550 - awaiting decipherment
560,,,0.0,Placeholder for research,Glyph 560 - awaiting decipherment
570,,,0.0,Placeholder for research,Glyph 570 - awaiting decipherment
580,,,0.0,Placeholder for research,Glyph 580 - awaiting decipherment
590,,,0.0,Placeholder for research,Glyph 590 - awaiting decipherment
601,,,0.0,Placeholder for research,Glyph 601 - awaiting decipherment
602,,,0.0,Placeholder for research,Glyph 602 - awaiting decipherment
603,,,0.0,Placeholder for research,Glyph 603 - awaiting decipherment
604,,,0.0,Placeholder for research,Glyph 604 - awaiting decipherment
605,,,0.0,Placeholder for research,Glyph 605 - awaiting decipherment
607,,,0.0,Placeholder for research,Glyph 607 - awaiting decipherment
608,,,0.0,Placeholder for research,Glyph 608 - awaiting decipherment
609,,,0.0,Placeholder for research,Glyph 609 - awaiting decipherment
611,,,0.0,Placeholder for research,Glyph 611 - awaiting decipherment
620,,,0.0,Placeholder for research,Glyph 620 - awaiting decipherment
630,,,0.0,Placeholder for research,Glyph 630 - awaiting decipherment
640,,,0.0,Placeholder for research,Glyph 640 - awaiting decipherment
650,,,0.0,Placeholder for research,Glyph 650 - awaiting decipherment
660,,,0.0,Placeholder for research,Glyph 660 - awaiting decipherment
670,,,0.0,Placeholder for research,Glyph 670 - awaiting decipherment
680,,,0.0,Placeholder for research,Glyph 680 - awaiting decipherment
690,bird-man,tangata manu,0.5,Placeholder for research,Combined human-bird figure; represents the Bird-Man of Orongo ceremonies.
701,,,0.0,Placeholder for research,Glyph 701 - awaiting decipherment
702,,,0.0,Placeholder for research,Glyph 702 - awaiting decipherment
703,,,0.0,Placeholder for research,Glyph 703 - awaiting decipherment
704,,,0.0,Placeholder for research,Glyph 704 - awaiting decipherment
705,,,0.0,Placeholder for research,Glyph 705 - awaiting decipherment
706,,,0.0,Placeholder for research,Glyph 706 - awaiting decipherment
707,,,0.0,Placeholder for research,Glyph 707 - awaiting decipherment
708,,,0.0,Placeholder for research,Glyph 708 - awaiting decipherment
709,,,0.0,Placeholder for research,Glyph 709 - awaiting decipherment
711,,,0.0,Placeholder for research,Glyph 711 - awaiting decipherment
720,,,0.0,Placeholder for research,Glyph 720 - awaiting decipherment
730,important catch; sea god; shark; large fish,ika nui; mango/niuhi,0.5,Placeholder for research,Stylized shark representing sea god Tangaroa or big predator; used in genealogies.; Larger fish variant indicating significant catch or mythologically important fish. Distinguishes major marine resources from common fish (700) in resource or ritual contexts.
740,,,0.0,Placeholder for research,Glyph 740 - awaiting decipherment
751,,,0.0,Placeholder for research,Glyph 751 - awaiting decipherment
760,,,0.0,Placeholder for research,Glyph 760 - awaiting decipherment
770,,,0.0,Placeholder for research,Glyph 770 - awaiting decipherment
780,,,0.0,Placeholder for research,Glyph 780 - awaiting decipherment
790,,,0.0,Placeholder for research,Glyph 790 - awaiting decipherment
801,,,0.0,Placeholder for research,Glyph 801 - awaiting decipherment
810,,,0.0,Placeholder for research,Glyph 810 - awaiting decipherment
820,,,0.0,Placeholder for research,Glyph 820 - awaiting decipherment
830,,,0.0,Placeholder for research,Glyph 830 - awaiting decipherment
840,,,0.0,Placeholder for research,Glyph 840 - awaiting decipherment
850,,,0.0,Placeholder for research,Glyph 850 - awaiting decipherment
860,,,0.0,Placeholder for research,Glyph 860 - awaiting decipherment
870,,,0.0,Placeholder for research,Glyph 870 - awaiting decipherment
880,,,0.0,Placeholder for research,Glyph 880 - awaiting decipherment
890,,,0.0,Placeholder for research,Glyph 890 - awaiting decipherment
900,,,0.0,Placeholder for research,Glyph 900 - awaiting decipherment
211,,,0.0,MD references,No decipherment; this glyph appears as structural marker or is referenced in corrections; remains undeciphered.
263,,,0.0,MD references,No decipherment; this glyph appears as structural marker or is referenced in corrections; remains undeciphered.
326,,,0.0,MD references,No decipherment; this glyph appears as structural marker or is referenced in corrections; remains undeciphered.
